LEAID,STATE,NAME,GRAD_RATE_2015_16,ALL_RATE_1516,
100005,ALABAMA,Albertville City,296,92,
100006,ALABAMA,Marshall County,434,88,
100007,ALABAMA,Hoover City,1127,93,
100008,ALABAMA,Madison City,855,97,
100011,ALABAMA,Leeds City,123,90-94,
100012,ALABAMA,Boaz City,151,80-84,
100013,ALABAMA,Trussville City,381,96,
100030,ALABAMA,Alexander City,269,90-94,
100060,ALABAMA,Andalusia City,99,90-94,
100090,ALABAMA,Anniston City,154,75-79,
100100,ALABAMA,Arab City,199,90-94,
100120,ALABAMA,Athens City,287,90,
100180,ALABAMA,Attalla City,207,83,
100185,ALABAMA,Saraland City,243,92,
100188,ALABAMA,Chickasaw City,53,70-79,
100189,ALABAMA,Satsuma City,103,85-89,
100190,ALABAMA,Alabaster City,435,97,
100194,ALABAMA,Pelham City,220,95,
100210,ALABAMA,Auburn City,574,88,
100240,ALABAMA,Autauga County,742,86,
100270,ALABAMA,Baldwin County,2383,84,
100300,ALABAMA,Barbour County,66,85-89,
100330,ALABAMA,Bessemer City,333,79,
100360,ALABAMA,Bibb County,250,85,
100390,ALABAMA,Birmingham City,1910,77,
100420,ALABAMA,Blount County,604,92,
100450,ALABAMA,Brewton City,87,90-94,
100480,ALABAMA,Bullock County,125,85-89,
100510,ALABAMA,Butler County,263,78,
100540,ALABAMA,Calhoun County,744,90,
100600,ALABAMA,Chambers County,275,80,
100630,ALABAMA,Cherokee County,307,93,
100660,ALABAMA,Chilton County,572,84,
100690,ALABAMA,Choctaw County,134,75-79,
100720,ALABAMA,Clarke County,259,85,
100750,ALABAMA,Clay County,174,85-89,
100780,ALABAMA,Cleburne County,168,GE95,
100810,ALABAMA,Coffee County,159,90-94,
100840,ALABAMA,Colbert County,211,82,
100870,ALABAMA,Conecuh County,96,75-79,
100900,ALABAMA,Coosa County,94,80-84,
100930,ALABAMA,Covington County,228,93,
100960,ALABAMA,Crenshaw County,161,90-94,
100990,ALABAMA,Cullman City,230,93,
101020,ALABAMA,Cullman County,689,85,
101050,ALABAMA,Dale County,194,85-89,
101080,ALABAMA,Daleville City,83,85-89,
101110,ALABAMA,Dallas County,332,89,
101140,ALABAMA,Dekalb County,642,88,
101170,ALABAMA,Decatur City,652,87,
101200,ALABAMA,Demopolis City,169,90-94,
101230,ALABAMA,Dothan City,647,89,
101260,ALABAMA,Elba City,68,GE95,
101290,ALABAMA,Elmore County,792,86,
101320,ALABAMA,Enterprise City,524,95,
101350,ALABAMA,Escambia County,318,82,
101380,ALABAMA,Etowah County,651,91,
101410,ALABAMA,Eufaula City,205,84,
101440,ALABAMA,Fairfield City,167,80-84,
101470,ALABAMA,Fayette County,177,85-89,
101530,ALABAMA,Florence City,356,93,
