STATE,ENROLL,NAME,YRDATA,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,TCURINST,TCURSSVC,TCURONON,TCAPOUT
Alabama,9609,AUTAUGA COUNTY SCHOOL DISTRICT,2016,80867.00,7447.00,53842.00,19578.00,76672.00,43843.00,23941.00,6401.00,1506.00
Alabama,30931,BALDWIN COUNTY SCHOOL DISTRICT,2016,338236.00,23710.00,145180.00,169346.00,299880.00,164977.00,97231.00,19439.00,9749.00
Alabama,912,BARBOUR COUNTY SCHOOL DISTRICT,2016,10116.00,2342.00,5434.00,2340.00,10070.00,4907.00,3896.00,975.00,110.00
Alabama,2842,EUFAULA CITY SCHOOL DISTRICT,2016,26182.00,3558.00,15900.00,6724.00,29843.00,15302.00,7901.00,2274.00,4133.00
Alabama,3322,BIBB COUNTY SCHOOL DISTRICT,2016,32486.00,3664.00,21846.00,6976.00,31662.00,16407.00,11087.00,3122.00,486.00
Alabama,7870,BLOUNT COUNTY SCHOOL DISTRICT,2016,69966.00,6929.00,48563.00,14474.00,68297.00,37442.00,22662.00,5500.00,2193.00
Alabama,1477,ONEONTA CITY SCHOOL DISTRICT,2016,13464.00,992.00,8541.00,3931.00,12726.00,6999.00,3758.00,1541.00,214.00
Alabama,1505,BULLOCK COUNTY SCHOOL DISTRICT,2016,14876.00,3061.00,9273.00,2542.00,14713.00,6996.00,6006.00,1542.00,31.00
Alabama,3135,BUTLER COUNTY SCHOOL DISTRICT,2016,32062.00,6439.00,18770.00,6853.00,31393.00,16091.00,10523.00,2950.00,471.00
Alabama,2099,ANNISTON CITY SCHOOL DISTRICT,2016,23776.00,4344.00,11810.00,7622.00,24320.00,12649.00,9344.00,1890.00,413.00
Alabama,9054,CALHOUN COUNTY SCHOOL DISTRICT,2016,86559.00,8361.00,54887.00,23311.00,93475.00,45298.00,31384.00,7137.00,8288.00
