STNAM,FIPST,LEAID,LEANM,ALL_COHORT_1516,ALL_RATE_1516,MAM_COHORT_1516,MAM_RATE_1516,MAS_COHORT_1516,MAS_RATE_1516,MBL_COHORT_1516,MBL_RATE_1516,MHI_COHORT_1516,MHI_RATE_1516,MTR_COHORT_1516,MTR_RATE_1516,MWH_COHORT_1516,MWH_RATE_1516,CWD_COHORT_1516,CWD_RATE_1516,ECD_COHORT_1516,ECD_RATE_1516,LEP_COHORT_1516,LEP_RATE_1516,DATE_CUR
ALABAMA,1,100005,Albertville City,296,92,2,PS,1,PS,9,GE50,91,GE95,,,193,90-94,18,60-79,108,80-84,9,GE50,1-Jul-17
ALABAMA,1,100006,Marshall County,434,88,4,PS,1,PS,4,PS,56,GE90,1,PS,368,86,51,50-59,274,80-84,3,PS,1-Jul-17
ALABAMA,1,100007,Hoover City,1127,93,,,65,90-94,314,88,54,80-89,16,GE80,678,96,82,60-64,223,80-84,8,GE50,1-Jul-17
ALABAMA,1,100008,Madison City,855,97,3,PS,63,GE95,203,GE95,32,GE90,20,GE80,534,98,47,70-79,162,90-94,7,GE50,1-Jul-17
ALABAMA,1,100011,Leeds City,123,92,,,1,PS,38,GE90,14,GE50,4,PS,66,GE95,16,60-79,60,80-89,1,PS,1-Jul-17
ALABAMA,1,100012,Boaz City,151,82,,,2,PS,,,20,60-79,5,PS,124,85-89,14,GE50,77,70-74,7,GE50,1-Jul-17
ALABAMA,1,100013,Trussville City,381,96,1,PS,9,GE50,52,GE90,6,GE50,1,PS,312,95,26,60-79,45,GE90,4,PS,1-Jul-17
ALABAMA,1,100030,Alexander City,269,92,,,2,PS,106,85-89,3,PS,1,PS,157,90-94,45,70-79,140,80-84,1,PS,1-Jul-17
ALABAMA,1,100060,Andalusia City,99,92,,,2,PS,39,80-89,2,PS,2,PS,54,GE90,10,GE50,46,80-89,,,1-Jul-17
ALABAMA,1,100090,Anniston City,154,77,,,,,143,75-79,4,PS,,,7,GE50,17,21-39,99,70-74,,,1-Jul-17
ALABAMA,1,100100,Arab City,199,92,1,PS,1,PS,1,PS,4,PS,,,192,90-94,20,60-79,66,80-84,,,1-Jul-17
ALABAMA,1,100120,Athens City,287,90,1,PS,5,PS,83,80-84,24,GE80,1,PS,173,90-94,21,40-59,114,80-84,2,PS,1-Jul-17
ALABAMA,1,100180,Attalla City,207,83,,,,,32,80-89,17,GE80,8,GE50,150,80-84,29,40-59,140,80-84,2,PS,1-Jul-17
ALABAMA,1,100185,Saraland City,243,92,2,PS,1,PS,36,GE90,2,PS,,,202,90-94,23,60-79,111,90-94,1,PS,1-Jul-17
ALABAMA,1,100188,Chickasaw City,53,74.5,,,,,40,80-89,1,PS,,,12,GE50,10,GE50,36,70-79,,,1-Jul-17
ALABAMA,1,100189,Satsuma City,103,87,1,PS,,,12,GE50,,,,,90,90-94,9,GE50,40,80-89,,,1-Jul-17
ALABAMA,1,100190,Alabaster City,435,97,1,PS,2,PS,93,GE95,56,GE90,,,283,GE95,37,80-89,134,GE95,8,GE50,1-Jul-17
ALABAMA,1,100194,Pelham City,220,95,,,6,GE50,35,GE90,50,GE90,,,129,GE95,10,LT50,61,90-94,3,PS,1-Jul-17
ALABAMA,1,100210,Auburn City,574,88,1,PS,54,80-89,167,80-84,19,GE80,3,PS,330,93,53,50-59,140,80-84,8,GE50,1-Jul-17
ALABAMA,1,100240,Autauga County,742,86,4,PS,9,GE50,193,80-84,11,GE50,7,GE50,518,87,69,30-34,274,70-74,3,PS,1-Jul-17
ALABAMA,1,100270,Baldwin County,2383,84,22,60-79,24,GE80,364,84,106,70-74,23,GE80,1844,84,309,53,961,75,22,40-59,1-Jul-17
ALABAMA,1,100300,Barbour County,66,87,,,,,62,85-89,1,PS,,,3,PS,12,LT50,43,80-89,,,1-Jul-17
ALABAMA,1,100330,Bessemer City,333,79,,,,,310,80,19,60-79,,,4,PS,53,50-59,188,70-74,3,PS,1-Jul-17
ALABAMA,1,100360,Bibb County,250,85,,,,,61,75-79,3,PS,,,186,85-89,28,40-59,136,75-79,1,PS,1-Jul-17
ALABAMA,1,100390,Birmingham City,1910,77,9,GE50,3,PS,1817,78,47,50-59,12,GE50,22,40-59,298,40-44,1048,74,16,40-59,1-Jul-17
ALABAMA,1,100420,Blount County,604,92,1,PS,1,PS,5,PS,66,GE95,4,PS,527,92,41,70-79,271,85-89,3,PS,1-Jul-17
ALABAMA,1,100450,Brewton City,87,92,,,1,PS,30,GE80,1,PS,,,55,GE90,2,PS,29,60-79,1,PS,1-Jul-17
ALABAMA,1,100480,Bullock County,125,87,,,,,116,85-89,9,GE50,,,,,18,60-79,116,85-89,4,PS,1-Jul-17
ALABAMA,1,100510,Butler County,263,78,,,2,PS,174,75-79,2,PS,1,PS,84,75-79,43,50-59,199,75-79,2,PS,1-Jul-17
ALABAMA,1,100540,Calhoun County,744,90,2,PS,6,GE50,117,90-94,12,GE50,4,PS,603,90,91,75-79,409,84,3,PS,1-Jul-17
ALABAMA,1,100600,Chambers County,275,80,,,1,PS,134,85-89,3,PS,6,GE50,131,75-79,36,40-49,168,75-79,1,PS,1-Jul-17
ALABAMA,1,100630,Cherokee County,307,93,24,GE80,,,19,GE80,2,PS,,,262,90-94,29,60-79,181,85-89,,,1-Jul-17
ALABAMA,1,100660,Chilton County,572,84,,,4,PS,67,75-79,47,GE90,5,PS,449,84,60,40-49,310,77,5,PS,1-Jul-17
ALABAMA,1,100690,Choctaw County,134,77,,,,,79,80-84,2,PS,,,53,60-69,15,LT50,64,60-64,,,1-Jul-17
ALABAMA,1,100720,Clarke County,259,85,1,PS,1,PS,180,85-89,3,PS,,,74,70-74,20,21-39,121,75-79,1,PS,1-Jul-17
ALABAMA,1,100750,Clay County,174,87,,,2,PS,32,GE90,3,PS,1,PS,136,85-89,19,40-59,97,80-84,,,1-Jul-17
ALABAMA,1,100780,Cleburne County,168,97.5,,,,,4,PS,3,PS,2,PS,159,90-94,19,60-79,74,90-94,,,1-Jul-17
ALABAMA,1,100810,Coffee County,159,92,5,PS,,,12,GE50,,,,,142,90-94,12,GE50,71,85-89,,,1-Jul-17
ALABAMA,1,100840,Colbert County,211,82,1,PS,,,31,80-89,5,PS,,,174,80-84,37,60-69,140,80-84,1,PS,1-Jul-17
ALABAMA,1,100870,Conecuh County,96,77,,,,,92,75-79,,,,,4,PS,10,LT50,77,70-74,,,1-Jul-17
ALABAMA,1,100900,Coosa County,94,82,,,,,40,80-89,2,PS,2,PS,50,80-89,12,LT50,56,70-79,,,1-Jul-17
ALABAMA,1,100930,Covington County,228,93,,,1,PS,20,GE80,1,PS,1,PS,205,90-94,27,GE80,190,90-94,,,1-Jul-17
ALABAMA,1,100960,Crenshaw County,161,92,,,1,PS,70,90-94,,,2,PS,88,85-89,27,GE80,115,90-94,,,1-Jul-17
ALABAMA,1,100990,Cullman City,230,93,,,1,PS,5,PS,16,60-79,2,PS,206,GE95,17,40-59,54,80-89,1,PS,1-Jul-17
ALABAMA,1,101020,Cullman County,689,85,2,PS,,,12,GE50,53,80-89,30,GE80,592,85,96,45-49,344,80,3,PS,1-Jul-17
ALABAMA,1,101050,Dale County,194,87,1,PS,1,PS,40,GE90,6,GE50,1,PS,145,85-89,14,LT50,103,80-84,1,PS,1-Jul-17
ALABAMA,1,101080,Daleville City,83,87,,,1,PS,29,GE80,14,GE50,2,PS,37,70-79,12,GE50,42,70-79,4,PS,1-Jul-17
ALABAMA,1,101110,Dallas County,332,89,,,,,258,90-94,2,PS,,,72,80-84,53,60-69,191,85-89,,,1-Jul-17
ALABAMA,1,101140,Dekalb County,642,88,84,90-94,,,10,GE50,143,85-89,2,PS,403,88,72,55-59,330,83,19,60-79,1-Jul-17
ALABAMA,1,101170,Decatur City,652,87,1,PS,10,GE50,233,80-84,120,85-89,4,PS,284,90-94,101,50-54,366,82,21,40-59,1-Jul-17
ALABAMA,1,101200,Demopolis City,169,92,,,1,PS,93,GE95,4,PS,,,71,85-89,10,GE50,96,90-94,2,PS,1-Jul-17
ALABAMA,1,101230,Dothan City,647,89,,,7,GE50,354,88,23,GE80,5,PS,258,90-94,78,55-59,384,87,6,GE50,1-Jul-17
ALABAMA,1,101260,Elba City,68,97.5,1,PS,,,28,GE80,3,PS,,,36,GE90,8,GE50,24,GE80,1,PS,1-Jul-17
