,State,School District,LEAID,Year,Total Expenditures,Graduation Rate,Enrollment
0,Alabama,Albertville City,100005,2016,46778000.0,92.0,
1,Alabama,Marshall County,100006,2016,64739000.0,88.0,
2,Alabama,Hoover City,100007,2016,165436000.0,93.0,
3,Alabama,Madison City,100008,2016,101154000.0,97.0,
4,Alabama,Leeds City,100011,2016,32285000.0,92.0,
5,Alabama,Boaz City,100012,2016,22413000.0,82.0,
6,Alabama,Trussville City,100013,2016,65049000.0,96.0,
7,Alabama,Alexander City,100030,2016,29642000.0,92.0,
8,Alabama,Andalusia City,100060,2016,15978000.0,92.0,
9,Alabama,Anniston City,100090,2016,24320000.0,77.0,
10,Alabama,Arab City,100100,2016,26202000.0,92.0,
11,Alabama,Athens City,100120,2016,40785000.0,90.0,
12,Alabama,Attalla City,100180,2016,17120000.0,83.0,
13,Alabama,Saraland City,100185,2016,37818000.0,92.0,
14,Alabama,Chickasaw City,100188,2016,9386000.0,74.5,
15,Alabama,Satsuma City,100189,2016,18106000.0,87.0,
16,Alabama,Alabaster City,100190,2016,91470000.0,97.0,
17,Alabama,Pelham City,100194,2016,64321000.0,95.0,
18,Alabama,Auburn City,100210,2016,131695000.0,88.0,
19,Alabama,Autauga County,100240,2016,76672000.0,86.0,
20,Alabama,Baldwin County,100270,2016,299880000.0,84.0,
21,Alabama,Barbour County,100300,2016,10070000.0,87.0,
22,Alabama,Bessemer City,100330,2016,42030000.0,79.0,
23,Alabama,Bibb County,100360,2016,31662000.0,85.0,
24,Alabama,Birmingham City,100390,2016,272202000.0,77.0,
25,Alabama,Blount County,100420,2016,68297000.0,92.0,
26,Alabama,Brewton City,100450,2016,26652000.0,92.0,
27,Alabama,Bullock County,100480,2016,14713000.0,87.0,
28,Alabama,Butler County,100510,2016,31393000.0,78.0,
29,Alabama,Calhoun County,100540,2016,93475000.0,90.0,
30,Alabama,Chambers County,100600,2016,35428000.0,80.0,
31,Alabama,Cherokee County,100630,2016,41646000.0,93.0,
32,Alabama,Chilton County,100660,2016,66004000.0,84.0,
33,Alabama,Choctaw County,100690,2016,15660000.0,77.0,
34,Alabama,Clarke County,100720,2016,28934000.0,85.0,
35,Alabama,Clay County,100750,2016,17663000.0,87.0,
36,Alabama,Cleburne County,100780,2016,25478000.0,97.5,
37,Alabama,Coffee County,100810,2016,20509000.0,92.0,
38,Alabama,Colbert County,100840,2016,30748000.0,82.0,
39,Alabama,Conecuh County,100870,2016,19915000.0,77.0,
40,Alabama,Coosa County,100900,2016,10517000.0,82.0,
41,Alabama,Covington County,100930,2016,29870000.0,93.0,
42,Alabama,Crenshaw County,100960,2016,21222000.0,92.0,
43,Alabama,Cullman City,100990,2016,30044000.0,93.0,
44,Alabama,Cullman County,101020,2016,93836000.0,85.0,
45,Alabama,Dale County,101050,2016,27492000.0,87.0,
46,Alabama,Daleville City,101080,2016,10652000.0,87.0,
47,Alabama,Dallas County,101110,2016,35428000.0,89.0,
48,Alabama,Dekalb County,101140,2016,83676000.0,88.0,
49,Alabama,Decatur City,101170,2016,109323000.0,87.0,
50,Alabama,Demopolis City,101200,2016,19572000.0,92.0,
51,Alabama,Dothan City,101230,2016,85409000.0,89.0,
52,Alabama,Elba City,101260,2016,7238000.0,97.5,
53,Alabama,Elmore County,101290,2016,96876000.0,86.0,
54,Alabama,Enterprise City,101320,2016,65966000.0,95.0,
55,Alabama,Escambia County,101350,2016,48595000.0,82.0,
56,Alabama,Etowah County,101380,2016,79601000.0,91.0,
57,Alabama,Eufaula City,101410,2016,29843000.0,84.0,
