State,Year,Total Revenues,Total Expenditures,Enrollment,Average Math Score (4th Grade),Average Math Score (8th Grade),Average Reading Score (4th Grade),Average Reading Score (8th Grade)
Alabama,1990,,,,,252.863659941877,,
Alabama,1992,,,,208.327875923738,252.18752241295,207.35849222974701,
Alabama,1993,2827391.0,2833433.0,727716.0,,,,
Alabama,1994,2970223.0,3103266.0,730004.0,,,207.963517196451,
Alabama,1995,3367437.0,3353363.0,727480.0,,,,
Alabama,1996,3365113.0,3572283.0,735912.0,211.646973546124,256.594863207309,,
Alabama,1997,3981788.0,3963624.0,737386.0,,,,
Alabama,1998,4140537.0,4245033.0,739321.0,,,210.920767475306,255.226634758003
Alabama,1999,4471546.0,4622810.0,737639.0,,,,
Alabama,2000,4885917.0,5003267.0,730184.0,217.94105295810903,262.15820551985,,
Alabama,2001,4832946.0,5086045.0,728532.0,,,,
Alabama,2002,5128559.0,5147821.0,726367.0,,,206.88002954674,252.50170539730598
Alabama,2003,5196054.0,5298932.0,727900.0,223.344642639352,261.939022225118,207.083847576707,253.172593739071
Alabama,2004,5356113.0,5450269.0,730418.0,,,,
Alabama,2005,5889966.0,5904664.0,729342.0,225.07123624126498,262.211100048323,207.75203301297,251.978391189903
Alabama,2006,6364028.0,6591429.0,743265.0,,,,
Alabama,2007,7069040.0,7196459.0,743273.0,228.52001796592498,266.000109919931,216.38895388448998,251.93688143753602
Alabama,2008,7726213.0,7847387.0,742919.0,,,,
Alabama,2009,7186390.0,7815467.0,745668.0,227.962650411086,268.524120315168,216.273355869774,254.89524659554002
Alabama,2010,7281058.0,7647571.0,748889.0,,,,
Alabama,2011,7376725.0,7411768.0,746933.0,231.286019035945,269.09651583719,220.273413326721,258.421090379483
Alabama,2012,7136949.0,7222161.0,744621.0,,,,
Alabama,2013,7197439.0,7487741.0,744548.0,232.86133246614799,269.194280616502,218.57595339188,257.427838227608
Alabama,2014,7357267.0,7587737.0,740081.0,,,,
Alabama,2015,7360222.0,7501799.0,734974.0,230.977422662321,266.555318518065,217.049089788052,258.753761500039
Alabama,2016,7498567.0,7708845.0,734652.0,,,,
Alabama,2017,,,,232.17068774150903,268.312020240893,216.41981353101102,257.686520320925
Alaska,1993,1191398.0,1126398.0,121156.0,,,,
Alaska,1994,1052282.0,1116160.0,123868.0,,,,
Alaska,1995,1117068.0,1203817.0,125421.0,,,,
Alaska,1996,1120346.0,1240031.0,126189.0,223.83345456097598,277.643071449619,,
Alaska,1997,1131950.0,1237103.0,128143.0,,,,
Alaska,1998,1206195.0,1222893.0,130633.0,,,,
Alaska,1999,1243227.0,1289988.0,133508.0,,,,
Alaska,2000,1313510.0,1386904.0,132822.0,,,,
Alaska,2001,1325498.0,1402839.0,131985.0,,,,
Alaska,2002,1377767.0,1523327.0,133010.0,,,,
Alaska,2003,1425948.0,1610289.0,133303.0,232.99165432133597,279.02506986523105,211.54715356915298,256.409625298838
Alaska,2004,1477152.0,1647250.0,133153.0,,,,
Alaska,2005,1599739.0,1751718.0,132568.0,235.51070553974498,278.958709394219,211.06131857044997,258.721274696008
Alaska,2006,1625138.0,1817656.0,132893.0,,,,
Alaska,2007,1800616.0,1938755.0,132197.0,237.27389321932498,282.557154120707,214.476954408027,258.798455932602
Alaska,2008,2188587.0,2274819.0,130624.0,,,,
Alaska,2009,2158970.0,2396412.0,130236.0,237.21228433612202,283.047662800849,211.127368273139,259.449426538116
Alaska,2010,2230338.0,2371251.0,131265.0,,,,
Alaska,2011,2357828.0,2443898.0,131704.0,236.35965802610698,283.2727978671,207.92369589694,261.28525201639997
Alaska,2012,2383402.0,2483320.0,130771.0,,,,
Alaska,2013,2545117.0,2665933.0,131091.0,236.122004416339,281.559572836526,209.347288173954,261.256092625584
Alaska,2014,2663647.0,2727056.0,130539.0,,,,
Alaska,2015,2920986.0,2968341.0,130755.0,236.32841695089698,280.493456179845,212.792600219066,260.317018773005
Alaska,2016,2494691.0,2623014.0,132477.0,,,,
Alaska,2017,,,,230.456277558902,277.015571755108,207.03763011579701,257.667496756549
Arizona,1990,,,,,259.59006758821204,,
Arizona,1992,,,,215.2539320246,265.366277794427,209.40206480543998,
Arizona,1993,3427976.0,3623946.0,676297.0,,,,
Arizona,1994,3566586.0,3803379.0,708482.0,,,206.212715526558,
Arizona,1995,3815218.0,4056279.0,735018.0,,,,
Arizona,1996,4143304.0,4391555.0,764681.0,217.575940481046,267.874834337364,,
Arizona,1997,4343262.0,4432360.0,783552.0,,,,
Arizona,1998,4675296.0,4726098.0,794331.0,,,206.52978842714802,260.800207957654
Arizona,1999,5085826.0,5072471.0,814157.0,,,,
Arizona,2000,5479168.0,5397194.0,814807.0,218.766619064154,270.715405900397,,
Arizona,2001,5916342.0,5858385.0,834387.0,,,,
Arizona,2002,6192222.0,6018188.0,859588.0,,,205.347275383339,256.734911435366
Arizona,2003,6529894.0,6210287.0,875111.0,228.91139607018397,271.177350478914,208.87280135481998,255.320115210993
Arizona,2004,7117923.0,6731212.0,895927.0,,,,
Arizona,2005,7550109.0,7136794.0,919875.0,229.80067307133098,274.305090048274,207.14273663584,254.78793822517503
Arizona,2006,8084068.0,7934177.0,947266.0,,,,
Arizona,2007,8724434.0,8709531.0,969875.0,231.93693354533798,275.548426408372,209.520624281702,254.82879235400398
Arizona,2008,9272152.0,9581201.0,987332.0,,,,
Arizona,2009,8802515.0,9580393.0,981303.0,229.991105224216,277.332281962623,209.989269506089,257.595275452299
Arizona,2010,8828122.0,8812967.0,963517.0,,,,
