,State,Year,Total Revenues,Total Expenditures,Enrollment,Average Math Score (4th Grade),Average Math Score (8th Grade),Average Reading Score (4th Grade),Average Reading Score (8th Grade),Average Revenue per Student,Average Spend per Student
12,Alabama,2003,5196054.0,5298932.0,727900.0,223.344642639352,261.939022225118,207.083847576707,253.172593739071,7138.417365022668,7279.752713284792
14,Alabama,2005,5889966.0,5904664.0,729342.0,225.07123624126496,262.211100048323,207.75203301297,251.978391189903,8075.725791192609,8095.8782025442115
16,Alabama,2007,7069040.0,7196459.0,743273.0,228.52001796592498,266.000109919931,216.38895388449,251.93688143753602,9510.691226507623,9682.120835816719
18,Alabama,2009,7186390.0,7815467.0,745668.0,227.962650411086,268.524120315168,216.273355869774,254.89524659554002,9637.519646813327,10481.16185755591
20,Alabama,2011,7376725.0,7411768.0,746933.0,231.286019035945,269.09651583719,220.273413326721,258.421090379483,9876.019669769577,9922.935524337523
22,Alabama,2013,7197439.0,7487741.0,744548.0,232.86133246614799,269.194280616502,218.57595339188,257.427838227608,9666.856938706436,10056.760611807433
24,Alabama,2015,7360222.0,7501799.0,734974.0,230.977422662321,266.555318518065,217.049089788052,258.753761500039,10014.261728986332,10206.89031176613
37,Alaska,2003,1425948.0,1610289.0,133303.0,232.99165432133597,279.02506986523105,211.54715356915298,256.409625298838,10697.043577413862,12079.915680817387
39,Alaska,2005,1599739.0,1751718.0,132568.0,235.51070553974498,278.958709394219,211.06131857044997,258.721274696008,12067.30885281516,13213.731820650533
41,Alaska,2007,1800616.0,1938755.0,132197.0,237.27389321932495,282.557154120707,214.476954408027,258.798455932602,13620.702436515201,14665.650506441145
43,Alaska,2009,2158970.0,2396412.0,130236.0,237.21228433612202,283.047662800849,211.127368273139,259.449426538116,16577.36724100863,18400.53441444762
45,Alaska,2011,2357828.0,2443898.0,131704.0,236.35965802610698,283.2727978671,207.92369589694,261.28525201639997,17902.47828463828,18555.989187875843
47,Alaska,2013,2545117.0,2665933.0,131091.0,236.122004416339,281.559572836526,209.347288173954,261.256092625584,19414.887368316668,20336.506701451664
49,Alaska,2015,2920986.0,2968341.0,130755.0,236.32841695089695,280.493456179845,212.792600219066,260.317018773005,22339.38281518871,22701.548697946542
64,Arizona,2003,6529894.0,6210287.0,875111.0,228.91139607018397,271.177350478914,208.87280135481998,255.320115210993,7461.789418713741,7096.570606471636
66,Arizona,2005,7550109.0,7136794.0,919875.0,229.80067307133098,274.305090048274,207.14273663584,254.78793822517503,8207.755401549124,7758.438918331295
68,Arizona,2007,8724434.0,8709531.0,969875.0,231.93693354533798,275.548426408372,209.520624281702,254.82879235400398,8995.421059414874,8980.055161747649
70,Arizona,2009,8802515.0,9580393.0,981303.0,229.991105224216,277.332281962623,209.989269506089,257.595275452299,8970.231416799908,9762.930511778726
72,Arizona,2011,8429186.0,8610417.0,946571.0,235.157597045644,279.033501713793,212.395049942915,260.14800521382597,8904.969621930104,9096.430167414805
74,Arizona,2013,8164324.0,7600581.0,941726.0,240.30491147057597,279.722267962505,213.13413148086602,260.448287236627,8669.532326812681,8070.904912893983
76,Arizona,2015,8230507.0,7902600.0,944978.0,237.61175542795,282.919489420654,215.311336461445,262.769391809157,8709.733983225007,8362.73437053561
91,Arkansas,2003,3241275.0,3242799.0,450158.0,229.00658865624402,265.77158934307596,213.615304459937,257.998089007686,7200.3052261650355,7203.690704152765
93,Arkansas,2005,3978240.0,3999608.0,461667.0,235.54546696397998,271.636348366415,217.071528896937,257.691731885046,8617.120132043226,8663.404575159153
95,Arkansas,2007,4415981.0,4779308.0,474532.0,237.670687444943,273.89986215628,217.027817745061,257.96099580386004,9305.970935574418,10071.624252948168
97,Arkansas,2009,4753142.0,5017352.0,474423.0,237.54059191157398,275.999499994013,216.15158139298802,258.048580163614,10018.784924002419,10575.692999707013
99,Arkansas,2011,5176362.0,5669431.0,475551.0,237.810156979715,279.088205018109,216.51486397474997,259.140937770185,10884.977636468013,11921.81490523624
101,Arkansas,2013,5067546.0,5226339.0,477716.0,239.89052210005002,277.91480245625803,218.523885266815,261.964490796451,10607.86324929456,10940.263671302615
103,Arkansas,2015,5308625.0,5350543.0,479682.0,235.215469726642,275.06475641246897,218.077496215637,258.76826797665797,11066.967282491318,11154.354343085628
118,California,2003,59815855.0,59749885.0,6226552.0,227.45498179673598,267.049500585455,205.632437100793,251.007500405859,9606.577605069386,9595.982656211656
120,California,2005,62171797.0,66196072.0,6307022.0,230.36695749900002,268.558128581435,206.512026480797,250.431056381298,9857.551947654536,10495.614570553267
122,California,2007,72516936.0,73225422.0,6288686.0,230.034091233638,270.381784005669,208.52218596154998,251.287791535591,11531.333572705014,11643.993991749629
124,California,2009,73958896.0,74766086.0,6234155.0,231.674927207631,270.448588146426,209.762405377999,252.631380782334,11863.499704450722,11992.978358735065
126,California,2011,70953331.0,69847705.0,6202604.0,234.164993212459,272.769803091291,211.35863599994,254.935218336086,11439.281147079517,11261.029238687493
128,California,2013,68868516.0,69727119.0,6208733.0,233.65446462441295,275.901350652197,212.54596789306305,261.50245565870097,11092.201259097468,11230.490826389216
130,California,2015,78248042.0,78365958.0,6226523.0,231.54934500615502,275.324573012154,212.677948539849,258.986842564294,12566.89198771128,12585.829683757693
145,Colorado,2003,6297242.0,6685029.0,751049.0,235.19311612499598,283.399858481467,223.66098196102797,267.592640864405,8384.595412549646,8900.922576289962
147,Colorado,2005,6910296.0,7284280.0,765388.0,239.21587446298,280.824007310133,223.65613000374802,264.75810609504504,9028.487512216027,9517.10766304149
149,Colorado,2007,7689014.0,8039146.0,790211.0,240.205890246617,286.19275616634104,223.73265289646199,266.407881623504,9730.330253565187,10173.41697344127
151,Colorado,2009,8310673.0,8682489.0,812068.0,243.132439997085,287.372907515934,225.69664059033198,265.51311994428,10233.961934222258,10691.8250688366
153,Colorado,2011,8747471.0,8676451.0,834832.0,244.456097110102,291.7426728709,223.43384362777198,270.636204320649,10478.121346570328,10393.050338271652
155,Colorado,2013,8826868.0,8699125.0,851063.0,246.975708032011,289.68180010958,226.663219629357,271.00908694257197,10371.580012290511,10221.481840944796
